1500990230.1453922,74.0
1500990366.6519332,69.0
1500990490.4045684,81.0
1500991541.388711,73.0
1500992257.9016159,91.0
1500992770.5207996,114.0
1500992948.2692738,76.0
1500993376.0217888,89.0
1500993517.7692587,81.0
1500993592.5241175,77.0
1500994262.404584,83.0
1500994499.6428456,90.0
1500996260.5203142,83.0
1500996516.773319,82.0
1500997209.8974612,69.0
1500997532.2716079,74.0
1500997975.6563156,69.0
1500998063.3973713,69.0
1500998445.0249496,69.0
1500998658.9006424,73.0
1500998924.5402293,67.0
1500999414.2722523,66.0
1500999721.158029,69.0
1500999893.9011009,67.0
1501000141.4051282,71.0
1501000414.659283,73.0
1501000739.4024248,89.0
1501001030.5335793,82.0
1501001654.1496017,83.0
1501002050.9120805,66.0
1501002731.0367115,66.0
1501002908.9050963,81.0
1501003308.1615047,69.0
1501003509.1516912,69.0
1501003671.5319848,73.0
1501004006.4165616,78.0
1501004536.284458,74.0
1501004636.7833328,81.0
1501005085.1539779,81.0
1501005355.7893941,77.0
1501006258.9112668,75.0
1501006755.9102178,78.0
1501008001.6689358,73.0
1501008403.4197693,73.0
1501009057.156464,72.0
1501009193.6661577,76.0
1501009394.6643498,71.0
1501010136.4072216,80.0
1501010638.5398867,73.0
1501010999.1761792,72.0
1501013742.29116,75.0
1501014525.5576277,85.0
1501014958.1664295,90.0
1501015323.2915127,78.0
1501015912.9170651,76.0
1501016642.0512285,80.0
1501017071.9287028,71.0
1501017470.4232547,74.0
1501017926.5602233,69.0
1501018253.6721485,82.0
1501018328.3156745,77.0
1501019256.3060217,74.0
1501019452.0614846,69.0
1501019792.180127,74.0
1501019998.193302,72.0
1501020330.5564303,67.0
1501020662.932943,70.0
1501020966.9331908,69.0
1501021157.6898742,65.0
1501021392.0688212,72.0
1501021824.9441934,71.0
1501022043.8091588,72.0
1501022708.562017,72.0
1501022837.4350948,71.0
1501023213.5616648,69.0
1501023497.06036,74.0
1501023922.32437,73.0
1501024149.0750122,73.0
1501024553.6946313,84.0
1501024734.0799336,129.0
1501025422.0736408,73.0
1501026176.9414158,65.0
